model,polarity,rank,word,weight
SVM,正面判别,1,喜欢,1.8697
SVM,正面判别,2,好看,1.6106
SVM,正面判别,3,期待,1.6056
SVM,正面判别,4,可爱,1.2031
SVM,正面判别,5,开心,1.1684
SVM,正面判别,6,绝美,1.0289
SVM,正面判别,7,流畅,1.0212
SVM,正面判别,8,不错,1.0119
SVM,正面判别,9,漂亮,0.9767
SVM,正面判别,10,美甲,0.9231
SVM,正面判别,11,精致,0.9134
SVM,正面判别,12,其实,0.8902
SVM,正面判别,13,搭配,0.8813
SVM,正面判别,14,太美,0.8777
SVM,正面判别,15,这是,0.8682
SVM,正面判别,16,系列,0.7947
SVM,正面判别,17,感谢,0.7946
SVM,正面判别,18,细节,0.7623
SVM,正面判别,19,好玩,0.7623
SVM,正面判别,20,安利,0.7522
SVM,负面判别,1,bug,-2.7936
SVM,负面判别,2,闪退,-1.8768
SVM,负面判别,3,卸载,-1.706
SVM,负面判别,4,模糊,-1.514
SVM,负面判别,5,策划,-1.4364
SVM,负面判别,6,问题,-1.3733
SVM,负面判别,7,卡死,-1.3483
SVM,负面判别,8,崩溃,-1.3161
SVM,负面判别,9,客服,-1.231
SVM,负面判别,10,氪金,-1.2198
SVM,负面判别,11,难受,-1.1475
SVM,负面判别,12,卡顿,-1.0566
SVM,负面判别,13,退游,-1.0564
SVM,负面判别,14,焕新,-1.0067
SVM,负面判别,15,保底,-1.0043
SVM,负面判别,16,无聊,-0.9819
SVM,负面判别,17,重复,-0.9787
SVM,负面判别,18,失望,-0.9704
SVM,负面判别,19,关掉,-0.9378
SVM,负面判别,20,重新,-0.9287
