event,event_name,phase,phase_name,concern,n,hits,ratio
engine_2024,2024引擎升级,pre,前窗,强制更新/重装,318,21,0.066
engine_2024,2024引擎升级,pre,前窗,性能(发热/闪退/卡顿/掉帧),318,2,0.0063
engine_2024,2024引擎升级,pre,前窗,内存/存储,318,17,0.0535
engine_2024,2024引擎升级,pre,前窗,画质/光照/引擎,318,31,0.0975
engine_2024,2024引擎升级,pre,前窗,期待/激动,318,29,0.0912
engine_2024,2024引擎升级,pre,前窗,预约/福利/奖励,318,19,0.0597
engine_2024,2024引擎升级,pre,前窗,质疑/建议/担忧,318,31,0.0975
engine_2024,2024引擎升级,post,后窗,强制更新/重装,492,8,0.0163
engine_2024,2024引擎升级,post,后窗,性能(发热/闪退/卡顿/掉帧),492,29,0.0589
engine_2024,2024引擎升级,post,后窗,内存/存储,492,10,0.0203
engine_2024,2024引擎升级,post,后窗,画质/光照/引擎,492,159,0.3232
engine_2024,2024引擎升级,post,后窗,期待/激动,492,14,0.0285
engine_2024,2024引擎升级,post,后窗,预约/福利/奖励,492,3,0.0061
engine_2024,2024引擎升级,post,后窗,质疑/建议/担忧,492,59,0.1199
rebirth_2026,2026新生版,pre,前窗,强制更新/重装,632,12,0.019
rebirth_2026,2026新生版,pre,前窗,性能(发热/闪退/卡顿/掉帧),632,6,0.0095
rebirth_2026,2026新生版,pre,前窗,内存/存储,632,29,0.0459
rebirth_2026,2026新生版,pre,前窗,画质/光照/引擎,632,39,0.0617
rebirth_2026,2026新生版,pre,前窗,期待/激动,632,56,0.0886
rebirth_2026,2026新生版,pre,前窗,预约/福利/奖励,632,24,0.038
rebirth_2026,2026新生版,pre,前窗,质疑/建议/担忧,632,129,0.2041
rebirth_2026,2026新生版,post,后窗,强制更新/重装,336,17,0.0506
rebirth_2026,2026新生版,post,后窗,性能(发热/闪退/卡顿/掉帧),336,12,0.0357
rebirth_2026,2026新生版,post,后窗,内存/存储,336,9,0.0268
rebirth_2026,2026新生版,post,后窗,画质/光照/引擎,336,38,0.1131
rebirth_2026,2026新生版,post,后窗,期待/激动,336,10,0.0298
rebirth_2026,2026新生版,post,后窗,预约/福利/奖励,336,2,0.006
rebirth_2026,2026新生版,post,后窗,质疑/建议/担忧,336,22,0.0655
