event,event_name,phase,phase_name,source_type,source_name,topic_id,keywords,weights,raw_keywords
engine_2024,2024引擎升级,pre,前窗,search,搜索博文,0,版本 套装 非凡 预约 搭配师 卸载 叠纸 账号,版本:0.0104;套装:0.0100;非凡:0.0072;预约:0.0072;搭配师:0.0065;卸载:0.0050;叠纸:0.0062;账号:0.0047,版本 套装 非凡 预约 搭配师 叠纸 卸载 活动
engine_2024,2024引擎升级,pre,前窗,search,搜索博文,1,手机 大更新 下载 内存 引擎 活动 vivo 双王,手机:0.0064;大更新:0.0063;下载:0.0076;内存:0.0064;引擎:0.0063;活动:0.0064;vivo:0.0035;双王:0.0035,下载 活动 手机 内存 引擎 大更新 搭配赛 套装
engine_2024,2024引擎升级,post,后窗,search,搜索博文,0,套装 光照 滤镜 引擎 升级 优化 一些 闪退,套装:0.0179;光照:0.0161;滤镜:0.0147;引擎:0.0095;升级:0.0083;优化:0.0072;一些:0.0045;闪退:0.0040,套装 光照 滤镜 引擎 升级 优化 叠纸 手机
engine_2024,2024引擎升级,post,后窗,search,搜索博文,1,bug 叠纸 套装 修复 背景 光照 滤镜 引擎,bug:0.0074;叠纸:0.0093;套装:0.0120;修复:0.0050;背景:0.0050;光照:0.0093;滤镜:0.0088;引擎:0.0074,套装 叠纸 光照 滤镜 引擎 bug 质感 优化
rebirth_2026,2026新生版,pre,前窗,official_post_comment,官方帖评论,0,叠纸 非凡 钢板 套装 设计 共度 多出 渠道服,叠纸:0.0119;非凡:0.0098;钢板:0.0098;套装:0.0125;设计:0.0077;共度:0.0077;多出:0.0056;渠道服:0.0067,套装 叠纸 非凡 钢板 设计 共度 渠道服 升级
rebirth_2026,2026新生版,pre,前窗,official_post_comment,官方帖评论,1,染色 头发 内存 一辈子 预告 幸福 今年 快点,染色:0.0268;头发:0.0249;内存:0.0239;一辈子:0.0072;预告:0.0062;幸福:0.0053;今年:0.0072;快点:0.0063,染色 头发 内存 直播 今年 一辈子 快点 预告
rebirth_2026,2026新生版,pre,前窗,official_post_comment,官方帖评论,2,老游 绝美 双闪 光照 焕发 材质 加油 搭配,老游:0.0292;绝美:0.0235;双闪:0.0169;光照:0.0131;焕发:0.0075;材质:0.0063;加油:0.0051;搭配:0.0075,老游 绝美 双闪 光照 套装 搭配 焕发 材质
rebirth_2026,2026新生版,pre,前窗,search,搜索博文,0,免费 预约 活动 急急 搭配 搭配师 套装 下载,免费:0.0185;预约:0.0193;活动:0.0187;急急:0.0100;搭配:0.0117;搭配师:0.0135;套装:0.0109;下载:0.0100,预约 活动 免费 搭配师 搭配 套装 下载 急急
rebirth_2026,2026新生版,pre,前窗,search,搜索博文,1,小组 任务 桌面 滤镜 光照 活動 功能 内存,小组:0.0119;任务:0.0084;桌面:0.0084;滤镜:0.0084;光照:0.0084;活動:0.0058;功能:0.0084;内存:0.0058,小组 功能 光照 滤镜 任务 桌面 预约 活动
rebirth_2026,2026新生版,post,后窗,search,搜索博文,0,修复 资源 叠纸 染色 光晕 上移 光照 小组,修复:0.0073;资源:0.0077;叠纸:0.0073;染色:0.0063;光晕:0.0058;上移:0.0048;光照:0.0092;小组:0.0043,光照 bug 资源 修复 叠纸 下载 染色 滤镜
rebirth_2026,2026新生版,post,后窗,search,搜索博文,1,官服 渠道服 手机 界面 功能 下载 套装 bug,官服:0.0131;渠道服:0.0126;手机:0.0115;界面:0.0091;功能:0.0090;下载:0.0097;套装:0.0074;bug:0.0103,官服 渠道服 手机 bug 下载 光照 界面 功能
